CVE_DOC,FECHA_DOC,NOMBRE_VENDEDOR,NOMBRE_CLIENTE,CANT,CVE_ART,DESCR,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO,MARGEN_TOTAL_CALCULADO
F38352,2022-06-10,ALFREDO CANELA,FLEX-N-GATE MEXICO,1,RP00203,REPARACION HORNO 15KW 440V TOTAL,32582.18,0.0,199335.56,32582.18,199335.56,-166753.38,-166753.38
F39121,2022-09-22,ALFREDO CANELA,PRODUCTOS Y SERVICIOS TRES HERMANOS,1,RP00001,REPARACION TUBO PYREX 7.2 OHMS,3298.28,33387.05,33387.05,3298.28,33387.05,-30088.77,-30088.77
F39281,2022-10-11,ALFREDO CANELA,DEACERO,1,47980590,"TUBULAR U"" 11mmØx510mm 3kW 460V 3pz""",1800.0,2392.5,2392.5,1800.0,2392.5,-592.5,-592.5
